Time,Cumulative Damage,RUL (Linear),RUL (Feedback)
262.40000000000003,0.03931928606894246,4658.678238517139,4167.132244134431
263.2,0.03932932182252255,4658.629571622787,4166.976493055937
271.40000000000003,0.03933043981048802,4658.624150106429,4166.95914282724
276.40000000000003,0.03933379379450825,4658.607885459766,4166.907092453452
278.00000000000006,0.03933974273153298,4658.579036974461,4166.814773389214
279.8,0.03936445330162403,4658.459206740049,4166.4313319385
288.80000000000007,0.039365571394983936,4658.453784712597,4166.413983345282
303.40000000000003,0.0393678075917666,4658.442940608892,4166.379286314983
312.0,0.03936892569518938,4658.437518532642,4166.3619378779
312.4,0.039370043801966466,4658.432096440123,4166.344589492864
312.79999999999995,0.03939240664192882,4658.32365117379,4165.997632721371
313.0,0.04007207088766982,4655.027720501698,4155.472548853436
313.59999999999997,0.047506926296419,4618.9734949957765,4042.791676389709
313.8,0.04751378147250597,4618.940251838924,4042.689811101513
314.0,0.04752749219486443,4618.8737637300665,4042.486086025755
314.2,0.047532062545337296,4618.851600495204,4042.418179296951
315.2,0.047534347741140355,4618.840518778038,4042.3842262381268
316.0,0.04754361457907692,4618.795580625738,4042.2465452787264
316.4,0.04755800800777972,4618.725781834002,4042.0327098812777
316.79999999999995,0.04756372141218017,4618.698075529127,4041.947833398179
317.0,0.04757400575606981,4618.648203133042,4041.7950589368875
318.2,0.04757629120353252,4618.637120195491,4041.76110961677
318.59999999999997,0.04774691284740698,4617.809715910372,4039.2277498776616
322.59999999999997,0.04774805608814552,4617.8041719344465,4039.210782894045
324.8,0.047750342579911786,4617.793083932699,4039.1768490795134
325.59999999999997,0.04776060538678805,4617.743315977158,4039.024543822048
333.8,0.04776174866860421,4617.7377718020325,4039.0075774480474
338.8,0.04776517853463181,4617.7211391768615,4038.956678631439
340.40000000000003,0.04777126206302025,4617.691638010755,4038.866402024793
342.2,0.04779653169590064,4617.569096684498,4038.4914437937614
351.20000000000005,0.047797675085495726,4617.563551986715,4038.474479019056
365.8,0.04779996187497641,4617.552462541246,4038.440549622328
374.4,0.04780110527486204,4617.546917793561,4038.4235850003047
374.79999999999995,0.04780224867817787,4617.541373029241,4038.4066204291753
375.19999999999993,0.04782511746485213,4617.430474249579,4038.0673396940288
375.4,0.04852015873296189,4614.05997499456,4027.7751117117746
375.99999999999994,0.056123223575479685,4577.190042857655,3917.5871794170816
376.2,0.05613023384608089,4577.156047593024,3917.4875677861673
376.4,0.056144254765843025,4577.088055227992,3917.288349903278
376.59999999999997,0.056148928517932045,4577.065390562372,3917.221945536039
377.59999999999997,0.05615126541500849,4577.054058127571,3917.188743651238
378.4,0.05616074190995604,4577.0081032747785,3917.0541087313886
378.79999999999995,0.05617546098191065,4576.936725324527,3916.8450042065388
379.19999999999993,0.056181303648881284,4576.908392180043,3916.762005522124
379.4,0.05619182067028343,4576.857391448968,3916.6126110274868
380.59999999999997,0.05619415782471318,4576.84605776617,3916.579412798676
380.99999999999994,0.0563686396875868,4575.999933923151,3914.102100852934
384.99999999999994,0.05636980879350586,4575.99426451788,3914.0855092451384
387.2,0.056372147015865945,4575.982925656313,3914.0523261788703
387.99999999999994,0.05638264201299186,4575.932031728689,3913.9033905074402
396.2,0.0563838111609179,4575.926362119711,3913.8867994957736
401.2,0.05638731862574073,4575.909353190724,3913.83702675941
402.8,0.056393539790546995,4575.87918457728,3913.7487474232335
404.59999999999997,0.05641938113469878,4575.753870822244,3913.3820847299935
