Range,Mean,Count,Start Index,End Index,Start Time,End Time,Duration
0.0007031999999999997,0.0,1.0,0,2,0.0,0.4,0.4
0.0007050200000000002,0.0,1.0,0,2,0.0,0.4,0.4
0.0007429700000000008,0.0,1.0,0,2,0.0,0.4,0.4
0.00075186,0.0,1.0,0,2,0.0,0.4,0.4
0.0007624100000000007,0.0,1.0,0,2,0.0,0.4,0.4
0.0007636800000000001,0.0,1.0,0,2,0.0,0.4,0.4
0.0007649699999999998,0.0,1.0,0,2,0.0,0.4,0.4
0.0007688899999999999,0.0,1.0,0,2,0.0,0.4,0.4
0.0007737,0.0,1.0,0,2,0.0,0.4,0.4
0.0007920900000000001,0.0,1.0,0,2,0.0,0.4,0.4
0.0007954899999999998,0.0,1.0,0,2,0.0,0.4,0.4
0.0008508399999999998,0.0,1.0,0,2,0.0,0.4,0.4
0.0008600800000000005,0.0,1.0,17,20,3.4000000000000004,4.0,0.5999999999999996
0.0008696600000000004,0.0,1.0,17,20,3.4000000000000004,4.0,0.5999999999999996
0.0008698899999999995,0.0,1.0,17,20,3.4000000000000004,4.0,0.5999999999999996
0.0008821300000000005,0.0,1.0,17,20,3.4000000000000004,4.0,0.5999999999999996
0.0008865900000000005,0.0,1.0,17,20,3.4000000000000004,4.0,0.5999999999999996
0.00090172,0.0,1.0,17,20,3.4000000000000004,4.0,0.5999999999999996
0.0009390599999999998,0.0,1.0,17,20,3.4000000000000004,4.0,0.5999999999999996
0.0009543900000000003,0.0,1.0,17,20,3.4000000000000004,4.0,0.5999999999999996
0.00096495,0.0,1.0,17,20,3.4000000000000004,4.0,0.5999999999999996
0.00097124,0.0,1.0,17,20,3.4000000000000004,4.0,0.5999999999999996
0.0011121299999999998,0.0,0.5,66,68,13.200000000000001,13.600000000000001,0.40000000000000036
0.00120336,0.0,0.5,139,142,27.8,28.400000000000002,0.6000000000000014
0.00132885,0.0,1.0,139,142,27.8,28.400000000000002,0.6000000000000014
0.0018542500000000002,0.0,1.0,32,33,6.4,6.6000000000000005,0.20000000000000018
0.0023692080000000003,0.0,1.0,4,5,0.8,1.0,0.19999999999999996
0.0025106759999999994,0.0,1.0,4,5,0.8,1.0,0.19999999999999996
0.0025776339999999997,0.0,1.0,4,5,0.8,1.0,0.19999999999999996
0.0026686130000000002,0.0,1.0,4,5,0.8,1.0,0.19999999999999996
0.0027119809999999996,0.0,1.0,4,5,0.8,1.0,0.19999999999999996
0.0027799623,0.0,1.0,4,5,0.8,1.0,0.19999999999999996
0.002784533,0.0,1.0,4,5,0.8,1.0,0.19999999999999996
0.0028313431999999993,0.0,0.5,4,5,0.8,1.0,0.19999999999999996
0.0028364744,0.0,1.0,4,5,0.8,1.0,0.19999999999999996
0.0028552616,0.0,1.0,4,5,0.8,1.0,0.19999999999999996
0.0029108932,0.0,0.5,4,5,0.8,1.0,0.19999999999999996
