Cycle #,Range,Mean,Count,Start Index,End Index
86,0.0007954899999999998,0.0025037199999999996,1.0,0,2
87,0.0008508399999999998,0.0025037199999999996,1.0,0,2
88,0.0008600800000000005,0.0023647699999999995,1.0,17,20
89,0.0008696600000000004,0.0023647699999999995,1.0,17,20
90,0.0008698899999999995,0.0023647699999999995,1.0,17,20
91,0.0008821300000000005,0.0023647699999999995,1.0,17,20
92,0.0008865900000000005,0.0023647699999999995,1.0,17,20
93,0.00090172,0.0023647699999999995,1.0,17,20
94,0.0009390599999999998,0.0023647699999999995,1.0,17,20
95,0.0009543900000000003,0.0023647699999999995,1.0,17,20
96,0.00096495,0.0023647699999999995,1.0,17,20
97,0.00097124,0.0023647699999999995,1.0,17,20
98,0.0011121299999999998,0.0023374349999999997,0.5,66,68
99,0.00120336,0.002137705,0.5,139,142
100,0.00132885,0.002137705,1.0,139,142
101,0.0018542500000000002,0.00192222,1.0,32,33
102,0.0023692080000000003,0.0014120684,1.0,4,5
103,0.0025106759999999994,0.0014120684,1.0,4,5
104,0.0025776339999999997,0.0014120684,1.0,4,5
105,0.0026686130000000002,0.0014120684,1.0,4,5
106,0.0027119809999999996,0.0014120684,1.0,4,5
107,0.0027799623,0.0014120684,1.0,4,5
108,0.002784533,0.0014120684,1.0,4,5
109,0.0028313431999999993,0.0014120684,0.5,4,5
110,0.0028364744,0.0014120684,1.0,4,5
111,0.0028552616,0.0014120684,1.0,4,5
112,0.0029108932,0.0014120684,0.5,4,5
